Basis,Line,Product,,Rate,Yield,Uptime
Net Quantity Produced,Line 32,1006537 C,0.71,594828.2746454123,640025.2216858506,920144.2781790592
Net Quantity Produced,Line 32,1006537 C,0.72,594908.3785140116,643142.3744214408,950659.8642792108
Net Quantity Produced,Line 32,1006537 C,0.73,594970.9767018906,645057.3662113107,963948.5225189682
Net Quantity Produced,Line 32,1006537 C,0.74,595172.9272714115,645526.2175786236,976120.5372382399
Net Quantity Produced,Line 32,1006537 C,0.75,595309.1866346153,646128.602908169,986743.659332322
Net Quantity Produced,Line 32,1006537 C,0.76,595309.1866346153,646912.5944263507,992768.1312291353
Net Quantity Produced,Line 32,1006537 C,0.77,595418.3168712322,647411.7767931,994974.4027010623
Net Quantity Produced,Line 32,1006537 C,0.78,595635.5441645889,647791.6546152511,1021080.4475872538
Net Quantity Produced,Line 32,1006537 C,0.79,595771.3656974682,647791.6546152511,1044319.8404248863
Net Quantity Produced,Line 32,1006537 C,0.8,596211.666370674,648167.6108185,1048023.975113809
Net Quantity Produced,Line 32,1006537 C,0.81,597461.7916481375,649276.6816180849,1056932.4516287178
Net Quantity Produced,Line 32,1006537 C,0.82,598038.8135613444,650744.593742913,1058941.7128383974
Net Quantity Produced,Line 32,1006537 C,0.83,598528.0526660256,652410.8129159019,1075189.6306525038
Net Quantity Produced,Line 32,1006537 C,0.84,600228.9733774225,652874.9725811029,1080598.7479210927
Net Quantity Produced,Line 32,1006537 C,0.85,602071.9981287451,656071.1787568376,1080622.761760243
Net Quantity Produced,Line 32,1006537 C,0.86,605109.9440944907,667470.2830956487,1080622.761760243
Net Quantity Produced,Line 32,1006537 C,0.87,606159.0919584958,673177.8604598126,1080622.761760243
Net Quantity Produced,Line 32,1006537 C,0.88,607516.2123055825,674401.2044500114,1080622.761760243
Net Quantity Produced,Line 32,1006537 C,0.89,611259.2838085459,674921.021119349,1080622.761760243
Net Quantity Produced,Line 32,1006537 C,0.9,620085.4537292494,675261.08065637,1080622.761760243
Net Quantity Produced,Line 32,1006537 C,0.91,628690.177043651,675261.08065637,1080622.761760243
Net Quantity Produced,Line 32,1006537 C,0.92,647807.6768911208,675261.08065637,1080622.761760243
Net Quantity Produced,Line 32,1006537 C,0.93,691988.9800922531,675261.08065637,1080622.761760243
Net Quantity Produced,Line 32,1006537 C,0.94,729621.8863473211,675580.9777697604,1080622.761760243
Net Quantity Produced,Line 32,1006537 C,0.95,730677.6832023092,675956.5091637403,1080622.761760243
Net Quantity Produced,Line 32,1006537 C,0.96,731833.466648041,675956.5091637403,1080622.761760243
Net Quantity Produced,Line 32,1006537 C,0.97,732219.805532011,676099.9005456213,1080622.761760243
Net Quantity Produced,Line 32,1006537 C,0.98,734276.3860359584,676467.7306121856,1080622.761760243
Net Quantity Produced,Line 32,1006537 C,0.99,740538.5057541722,677643.5175998026,1080622.761760243
Net Quantity Produced,Line 32,1006537 C,1.0,756539.3122073577,679174.0173820278,1080622.761760243
Net Quantity Produced,Line 32,1006583,0.5,31256.0,31256.0,31256.0
Net Quantity Produced,Line 32,1006583,0.51,31261.69715197084,31302.469097345132,32048.31912663755
Net Quantity Produced,Line 32,1006583,0.52,31267.39430394167,31348.93819469026,32840.63825327511
Net Quantity Produced,Line 32,1006583,0.53,31273.09145591251,31395.407292035397,33632.957379912674
Net Quantity Produced,Line 32,1006583,0.54,31278.788607883344,31441.87638938053,34425.27650655022
Net Quantity Produced,Line 32,1006583,0.55,31284.48575985418,31488.345486725666,35217.595633187775
Net Quantity Produced,Line 32,1006583,0.56,31290.182911825017,31534.814584070795,36026.29344978167
Net Quantity Produced,Line 32,1006583,0.57,31295.880063795845,31581.283681415927,36855.464628820955
Net Quantity Produced,Line 32,1006583,0.58,31301.577215766687,31627.752778761063,37684.635807860264
Net Quantity Produced,Line 32,1006583,0.59,31307.27436773752,31674.221876106192,38513.80698689955
Net Quantity Produced,Line 32,1006583,0.6,31312.971519708357,31720.690973451325,39342.97816593886
Net Quantity Produced,Line 32,1006583,0.61,31318.668671679196,31767.160070796464,40172.14934497816
Net Quantity Produced,Line 32,1006583,0.62,31324.365823650027,31813.629168141593,41001.320524017465
Net Quantity Produced,Line 32,1006583,0.63,31345.093466900467,31860.098265486722,41830.49170305676
Net Quantity Produced,Line 32,1006583,0.64,31380.85160143051,31906.567362831862,42659.66288209606
Net Quantity Produced,Line 32,1006583,0.65,31416.609735960556,31953.036460176987,43488.83406113537
Net Quantity Produced,Line 32,1006583,0.66,31452.367870490587,31999.505557522127,44318.00524017467
Net Quantity Produced,Line 32,1006583,0.67,31488.126005020633,32045.974654867256,45045.833275109166
Net Quantity Produced,Line 32,1006583,0.68,31523.88413955067,32092.443752212388,45570.97502183405
Net Quantity Produced,Line 32,1006583,0.69,31559.642274080714,32138.912849557524,46096.11676855894
Net Quantity Produced,Line 32,1006583,0.7,31595.400408610756,32185.381946902657,46621.258515283844
Net Quantity Produced,Line 32,1006583,0.71,31631.1585431408,32231.851044247793,47146.40026200873
Net Quantity Produced,Line 32,1006583,0.72,31666.91667767084,32278.32014159292,47671.54200873361
Net Quantity Produced,Line 32,1006583,0.73,31702.67481220088,32324.789238938054,48196.68375545851
Net Quantity Produced,Line 32,1006583,0.74,31738.43294673093,32371.25833628319,48721.825502183405
Net Quantity Produced,Line 32,1006583,0.75,31774.191081260968,32417.72743362832,49246.96724890829
Net Quantity Produced,Line 32,1006583,0.76,31775.746042813684,32610.125328153103,49772.10899563318
Net Quantity Produced,Line 32,1006583,0.77,31777.301004366396,32802.5232226779,50297.250742358076
Net Quantity Produced,Line 32,1006583,0.78,31778.855965919116,32994.92111720268,51387.45729257643
Net Quantity Produced,Line 32,1006583,0.79,31780.410927471832,33187.319011727464,54455.39065502184
Net Quantity Produced,Line 32,1006583,0.8,31781.965889024545,33379.71690625225,57523.32401746725
Net Quantity Produced,Line 32,1006583,0.81,31783.520850577264,33572.11480077703,60591.257379912684
Net Quantity Produced,Line 32,1006583,0.82,31785.07581212998,33764.51269530181,63659.19074235806
Net Quantity Produced,Line 32,1006583,0.83,31786.630773682693,33956.910589826606,66727.12410480347
Net Quantity Produced,Line 32,1006583,0.84,31788.185735235416,34149.30848435139,69795.05746724889
Net Quantity Produced,Line 32,1006583,0.85,31789.740696788132,34341.70637887617,72862.99082969429
Net Quantity Produced,Line 32,1006583,0.86,31791.295658340845,34534.10427340096,75930.92419213973
Net Quantity Produced,Line 32,1006583,0.87,31792.850619893565,34726.50216792575,78998.85755458515
Net Quantity Produced,Line 32,1006583,0.88,31837.589769825343,34918.900062450535,82066.79091703055
Net Quantity Produced,Line 32,1006583,0.89,31925.513108136183,35111.29795697532,84833.42462882095
Net Quantity Produced,Line 32,1006583,0.9,32013.436446447024,35303.69585150012,85189.66113537115
Net Quantity Produced,Line 32,1006583,0.91,32101.359784757864,35496.0937460249,85545.89764192137
Net Quantity Produced,Line 32,1006583,0.92,32189.283123068704,35688.491640549684,85902.13414847161
Net Quantity Produced,Line 32,1006583,0.93,32277.206461379552,35880.889535074464,86258.37065502183
Net Quantity Produced,Line 32,1006583,0.94,32365.129799690392,36073.28742959925,86614.60716157206
Net Quantity Produced,Line 32,1006583,0.95,32453.05313800123,36265.68532412404,86970.84366812227
Net Quantity Produced,Line 32,1006583,0.96,32540.97647631207,36458.083218648826,87327.08017467249
Net Quantity Produced,Line 32,1006583,0.97,32628.89981462291,36650.48111317361,87683.31668122271
Net Quantity Produced,Line 32,1006583,0.98,32716.823152933754,36842.87900769839,88039.55318777294
Net Quantity Produced,Line 32,1006583,0.99,32804.746491244594,37035.27690222318,88395.78969432315
Net Quantity Produced,Line 32,1006583,1.0,32892.66982955544,37227.67479674797,88752.02620087337
Net Quantity Produced,Line 32,1013273,0.5,835130.0,835130.0000000001,835130.0
Net Quantity Produced,Line 32,1013273,0.51,836285.58351479,843589.2909482757,838050.2095038852
Net Quantity Produced,Line 32,1013273,0.52,836880.0131220493,860149.5832692025,840131.794739988
Net Quantity Produced,Line 32,1013273,0.53,837031.0903565862,877262.2165928098,845532.9343693963
Net Quantity Produced,Line 32,1013273,0.54,838019.0099738081,881874.3814331377,855326.8677824269
Net Quantity Produced,Line 32,1013273,0.55,839876.2592934689,883525.90900111,863308.7737597132
Net Quantity Produced,Line 32,1013273,0.56,840378.9515200502,889054.0373837989,875024.5544530785
Net Quantity Produced,Line 32,1013273,0.57,840548.8756529789,896399.3223983864,888552.3625821876
Net Quantity Produced,Line 32,1013273,0.58,840548.8756529789,903728.8181502118,898526.0011954573
Net Quantity Produced,Line 32,1013273,0.59,840548.8756529789,911045.5610359602,898526.0011954573
Net Quantity Produced,Line 32,1013273,0.6,840897.89248716,919546.2078059863,898526.0011954573
Net Quantity Produced,Line 32,1013273,0.61,841130.5703766142,929645.1248197869,898526.0011954573
Net Quantity Produced,Line 32,1013273,0.62,841204.9715700086,937158.4498745528,898526.0011954573
Net Quantity Produced,Line 32,1013273,0.63,843846.2139355064,938577.1653115937,898526.0011954573
Net Quantity Produced,Line 32,1013273,0.64,845064.7873670005,941104.5422788695,898526.0011954573
Net Quantity Produced,Line 32,1013273,0.65,846272.5562151857,949036.6442060397,898526.0011954573
Net Quantity Produced,Line 32,1013273,0.66,850699.1931466152,956658.464331414,898526.0011954573
Net Quantity Produced,Line 32,1013273,0.67,855647.4967802854,957298.9439163773,898526.0011954573
Net Quantity Produced,Line 32,1013273,0.68,861740.1868046127,957939.4235013402,898526.0011954573
Net Quantity Produced,Line 32,1013273,0.69,869393.558338183,961338.5773327126,898526.0011954573
Net Quantity Produced,Line 32,1013273,0.7,871246.1297218044,964994.3520242159,898526.0011954573
Net Quantity Produced,Line 32,1013273,0.71,873806.894908817,967638.9362437569,898526.0011954573
Net Quantity Produced,Line 32,1013273,0.72,876852.4548807594,970010.2257411461,898526.0011954573
Net Quantity Produced,Line 32,1013273,0.73,879435.6940753093,971808.1033043432,898526.0011954573
Net Quantity Produced,Line 32,1013273,0.74,881421.2365155524,973310.0263208604,898526.0011954573
Net Quantity Produced,Line 32,1013273,0.75,882722.6391927891,974173.4646978606,898526.0011954573
Net Quantity Produced,Line 32,1013273,0.76,883111.446085256,974475.0365920863,898526.0011954573
Net Quantity Produced,Line 32,1013273,0.77,883344.7429497663,977793.4149579376,898526.0011954573
Net Quantity Produced,Line 32,1013273,0.78,883504.1225198262,985557.6133872368,898526.0011954573
Net Quantity Produced,Line 32,1013273,0.79,883602.082386583,991304.9618257936,898526.0011954573
Net Quantity Produced,Line 32,1013273,0.8,883663.5935094866,991777.4718270235,898526.0011954573
Net Quantity Produced,Line 32,1013273,0.81,883715.6655766855,992743.5683561758,898526.0011954573
Net Quantity Produced,Line 32,1013273,0.82,883967.8617355485,996530.1593305982,898526.0011954573
Net Quantity Produced,Line 32,1013273,0.83,884674.0332773527,1000465.6749016937,898526.0011954573
Net Quantity Produced,Line 32,1013273,0.84,884960.7626370076,1011251.7219197459,898526.0011954573
Net Quantity Produced,Line 32,1013273,0.85,885224.6101959674,1022037.7689377981,898526.0011954573
Net Quantity Produced,Line 32,1013273,0.86,885513.8087461019,1023482.6171445713,898526.0011954573
Net Quantity Produced,Line 32,1013273,0.87,885821.4165107874,1023815.4178738113,898526.0011954573
Net Quantity Produced,Line 32,1013273,0.88,885968.96743235,1023893.3074061865,898526.0011954573
Net Quantity Produced,Line 32,1013273,0.89,886037.5646234785,1023893.3074061865,898526.0011954573
Net Quantity Produced,Line 32,1013273,0.9,886099.9770264615,1024262.6276063268,898526.0011954573
Net Quantity Produced,Line 32,1013273,0.91,886349.1022075455,1024841.2292532135,898526.0011954573
Net Quantity Produced,Line 32,1013273,0.92,886502.758820166,1026049.6557571109,898526.0011954573
Net Quantity Produced,Line 32,1013273,0.93,886502.758820166,1027861.6644156436,898526.0011954573
Net Quantity Produced,Line 32,1013273,0.94,886502.758820166,1029101.245348221,898526.0011954573
Net Quantity Produced,Line 32,1013273,0.95,886502.758820166,1029418.5816112043,898526.0011954573
Net Quantity Produced,Line 32,1013273,0.96,886595.8299759475,1029736.0242721186,898526.0011954573
Net Quantity Produced,Line 32,1013273,0.97,887008.8332297286,1030053.7772603321,898526.0011954573
Net Quantity Produced,Line 32,1013273,0.98,887084.4535438012,1030415.9544851704,898526.0011954573
Net Quantity Produced,Line 32,1013273,0.99,893558.8796755306,1031081.6973269433,898526.0011954573
Net Quantity Produced,Line 32,1013273,1.0,909410.060894592,1031747.4401687166,898526.0011954573
Net Quantity Produced,Line 32,1016003,0.5,2041788.9999999998,2041789.0,2041789.0
Net Quantity Produced,Line 32,1016003,0.51,2041893.332051578,2041789.0000000002,2056116.307576342
Net Quantity Produced,Line 32,1016003,0.52,2042691.5895319115,2042315.5735654416,2068619.065676631
Net Quantity Produced,Line 32,1016003,0.53,2044202.9135374306,2043105.4339136044,2085269.720427515
Net Quantity Produced,Line 32,1016003,0.54,2045870.2518994766,2043105.4339136044,2100939.038307116
Net Quantity Produced,Line 32,1016003,0.55,2046502.6766864513,2043105.4339136044,2117152.859174492
Net Quantity Produced,Line 32,1016003,0.56,2049692.806594503,2043105.4339136044,2128448.536984892
Net Quantity Produced,Line 32,1016003,0.57,2051327.3954941398,2043105.4339136044,2137741.9256830597
Net Quantity Produced,Line 32,1016003,0.58,2052260.7470927197,2043896.3134364095,2149516.1766184503
Net Quantity Produced,Line 32,1016003,0.59,2054814.666020154,2050229.198949288,2160384.7159434264
Net Quantity Produced,Line 32,1016003,0.6,2057036.2250938509,2063775.6747771977,2174889.227965284
Net Quantity Produced,Line 32,1016003,0.61,2058828.9779699058,2086195.9098405668,2184950.502594021
Net Quantity Produced,Line 32,1016003,0.62,2059604.426415676,2097883.846984843,2203307.570523947
Net Quantity Produced,Line 32,1016003,0.63,2059768.2410127157,2102673.9966293164,2226803.5673738346
Net Quantity Produced,Line 32,1016003,0.64,2059768.2410127157,2114372.7619108916,2232119.700739312
Net Quantity Produced,Line 32,1016003,0.65,2059768.2410127157,2132318.5166073632,2238814.0909032463
Net Quantity Produced,Line 32,1016003,0.66,2061314.281558258,2150737.212319787,2247858.0807521692
Net Quantity Produced,Line 32,1016003,0.67,2061623.863564431,2164091.2711571986,2276473.3171391836
Net Quantity Produced,Line 32,1016003,0.68,2061686.088536936,2172247.067868973,2342642.7697203476
Net Quantity Produced,Line 32,1016003,0.69,2061686.088536936,2179066.6120745107,2362725.94021215
Net Quantity Produced,Line 32,1016003,0.7,2061686.088536936,2185259.655632985,2362725.94021215
Net Quantity Produced,Line 32,1016003,0.71,2061686.088536936,2190298.6073095035,2362725.94021215
Net Quantity Produced,Line 32,1016003,0.72,2061850.8953842088,2195564.356126752,2362725.94021215
Net Quantity Produced,Line 32,1016003,0.73,2063116.8455672727,2200744.416269722,2362725.94021215
Net Quantity Produced,Line 32,1016003,0.74,2064593.4017093207,2204389.7572337273,2362725.94021215
Net Quantity Produced,Line 32,1016003,0.75,2067602.852175488,2207925.089156364,2362725.94021215
Net Quantity Produced,Line 32,1016003,0.76,2074154.51616849,2210418.895089286,2362725.94021215
Net Quantity Produced,Line 32,1016003,0.77,2079235.7896525187,2210418.895089286,2362725.94021215
Net Quantity Produced,Line 32,1016003,0.78,2084412.2881605197,2212877.4454566357,2362725.94021215
Net Quantity Produced,Line 32,1016003,0.79,2088713.691419739,2248135.106232202,2362725.94021215
Net Quantity Produced,Line 32,1016003,0.8,2089888.2629947364,2326578.569692646,2362725.94021215
Net Quantity Produced,Line 32,1016003,0.81,2092372.6434342195,2330655.1779499296,2362725.94021215
Net Quantity Produced,Line 32,1016003,0.82,2094895.1706264233,2335588.062250508,2362725.94021215
Net Quantity Produced,Line 32,1016003,0.83,2102108.2337335795,2341929.2107205354,2362725.94021215
Net Quantity Produced,Line 32,1016003,0.84,2106784.614578905,2352866.7020124393,2362725.94021215
Net Quantity Produced,Line 32,1016003,0.85,2108055.041275824,2366792.5664488804,2362725.94021215
Net Quantity Produced,Line 32,1016003,0.86,2108867.044272117,2383001.05233063,2362725.94021215
Net Quantity Produced,Line 32,1016003,0.87,2109222.87528508,2401927.718681114,2362725.94021215
Net Quantity Produced,Line 32,1016003,0.88,2110612.335671243,2415888.580827342,2362725.94021215
Net Quantity Produced,Line 32,1016003,0.89,2116618.9947288358,2428151.2537103267,2362725.94021215
Net Quantity Produced,Line 32,1016003,0.9,2117225.405186263,2439253.1862877086,2362725.94021215
Net Quantity Produced,Line 32,1016003,0.91,2118723.166432151,2444671.3764268532,2362725.94021215
Net Quantity Produced,Line 32,1016003,0.92,2120284.060625716,2447743.7406222597,2362725.94021215
Net Quantity Produced,Line 32,1016003,0.93,2121778.0356182856,2450202.646660754,2362725.94021215
Net Quantity Produced,Line 32,1016003,0.94,2122615.6176180877,2459537.0205046,2362725.94021215
Net Quantity Produced,Line 32,1016003,0.95,2123057.209311989,2556673.7465556944,2362725.94021215
Net Quantity Produced,Line 32,1016003,0.96,2123436.610313888,2653368.93101364,2362725.94021215
Net Quantity Produced,Line 32,1016003,0.97,2138448.731818295,2661157.909281467,2362725.94021215
Net Quantity Produced,Line 32,1016003,0.98,2177028.699760799,2699635.8221532875,2362725.94021215
Net Quantity Produced,Line 32,1016003,0.99,2335172.635804528,2752210.577096296,2362725.94021215
Net Quantity Produced,Line 32,1016003,1.0,2564078.755207716,2816761.358222222,2362725.94021215
Net Quantity Produced,Line 32,1019090,0.5,141858.0,141858.0,141858.0
Net Quantity Produced,Line 32,1019090,0.51,141873.08594199797,141963.9097774587,141967.13819739062
Net Quantity Produced,Line 32,1019090,0.52,141888.17188399594,142069.81955491743,142281.14790462804
Net Quantity Produced,Line 32,1019090,0.53,141903.2578259939,142175.72933237613,142919.53750245628
Net Quantity Produced,Line 32,1019090,0.54,141918.34376799187,142267.39523084753,143557.92710028458
Net Quantity Produced,Line 32,1019090,0.55,141974.94862296828,142280.71979488837,145015.0336502742
Net Quantity Produced,Line 32,1019090,0.56,142039.8572605404,142294.04435892927,150729.46835150302
Net Quantity Produced,Line 32,1019090,0.57,142104.7658981125,142307.36892297014,156443.90305273165
Net Quantity Produced,Line 32,1019090,0.58,142169.67453568464,142320.69348701098,162158.33775396048
Net Quantity Produced,Line 32,1019090,0.59,142236.0078098435,142334.01805105188,167810.612437809
Net Quantity Produced,Line 32,1019090,0.6,142303.0534022957,142347.34261509276,173458.60022390712
Net Quantity Produced,Line 32,1019090,0.61,142370.09899474803,142360.66717913363,179106.58801000536
Net Quantity Produced,Line 32,1019090,0.62,142437.14458720025,142423.5914981572,181359.35277781912
Net Quantity Produced,Line 32,1019090,0.63,142472.59246872368,142544.382197994,182223.1626745165
Net Quantity Produced,Line 32,1019090,0.64,142476.44263931835,142665.1728978308,183086.9725712138
Net Quantity Produced,Line 32,1019090,0.65,142480.29280991296,142785.9635976676,183572.99960366078
Net Quantity Produced,Line 32,1019090,0.66,142484.14298050763,142906.75429750438,183656.058247574
Net Quantity Produced,Line 32,1019090,0.67,142494.541268147,143027.54499734117,183739.11689148718
Net Quantity Produced,Line 32,1019090,0.68,142518.03578987575,143148.33569717797,184314.60022261343
Net Quantity Produced,Line 32,1019090,0.69,142541.5303116045,143269.12639701474,186305.804529477
Net Quantity Produced,Line 32,1019090,0.7,142565.0248333333,143824.93749401454,188297.00883634065
Net Quantity Produced,Line 32,1019090,0.71,142586.30618235987,144511.25471016322,190234.76905984434
Net Quantity Produced,Line 32,1019090,0.72,142596.52166787552,145197.57192631188,190569.20678255055
Net Quantity Produced,Line 32,1019090,0.73,142606.7371533912,145883.88914246057,190903.64450525682
Net Quantity Produced,Line 32,1019090,0.74,142616.9526389069,146570.20635860926,191238.08222796302
Net Quantity Produced,Line 32,1019090,0.75,142627.16812442255,147256.52357475794,191704.7087738733
Net Quantity Produced,Line 32,1019090,0.76,142643.4683722082,147942.8407909066,192203.06063735255
Net Quantity Produced,Line 32,1019090,0.77,142659.76861999385,148579.72329812695,192701.41250083182
Net Quantity Produced,Line 32,1019090,0.78,142676.06886777948,148623.389298207,192910.39876616182
Net Quantity Produced,Line 32,1019090,0.79,142692.36911556515,148667.0552982871,192910.39876616182
Net Quantity Produced,Line 32,1019090,0.8,142715.5146117647,148710.72129836716,192910.39876616182
Net Quantity Produced,Line 32,1019090,0.81,142740.02915764705,148754.38729844725,192910.39876616182
Net Quantity Produced,Line 32,1019090,0.82,142764.54370352943,148798.05329852735,192910.39876616182
Net Quantity Produced,Line 32,1019090,0.83,142789.05824941178,148841.7192986074,192910.39876616182
Net Quantity Produced,Line 32,1019090,0.84,142797.2297647059,148885.38529868747,192910.39876616182
Net Quantity Produced,Line 32,1019090,0.85,142797.2297647059,149026.19108020244,192910.39876616182
Net Quantity Produced,Line 32,1019090,0.86,142797.2297647059,149322.42051201328,192910.39876616182
Net Quantity Produced,Line 32,1019090,0.87,142797.2297647059,149618.64994382407,192910.39876616182
Net Quantity Produced,Line 32,1019090,0.88,142809.48703764708,149914.8793756349,192910.39876616182
Net Quantity Produced,Line 32,1019090,0.89,142834.0015835294,150211.10880744568,192910.39876616182
Net Quantity Produced,Line 32,1019090,0.9,142858.51612941176,150507.3382392565,192910.39876616182
Net Quantity Produced,Line 32,1019090,0.91,142883.03067529414,150803.56767106726,192910.39876616182
Net Quantity Produced,Line 32,1019090,0.92,142903.4129757686,151099.79710287807,192910.39876616182
Net Quantity Produced,Line 32,1019090,0.93,142915.53078542723,152042.77652785348,192910.39876616182
